Jordi Masip,Puma,evoPOWER Vigor 1>,0,
GerÃ³nimo Rulli,Adidas,ACE 17.1 Leather>,0,
AlfreÃ° Finnbogason,Adidas,ACE 17.1 Primeknit>,0,
Philipp MÃ¼ller,Nike,Mercurial Superfly V>,0,
Gojko KaÄar,Adidas,X 15.1 Leather>,0,
ZoltÃ¡n Stieber,Puma,evoSPEED 17 SL-S>,0,
Donis Avdijaj,Adidas,ACE 17.1 Leather>,0,
Pascal Itter,Nike,Magista Obra II>,0,
Timon Wellenreuther,Adidas,ACE 17.1 Leather>,0,
Marvin Friedrich,Adidas,ACE 16.1 Primeknit>,0,
Leroy SanÃ©,Nike,Mercurial Superfly V>,0,
Fabian Giefer,Adidas,Predator LZ>,0,
Wendell,Nike,Mercurial Superfly V>,0,
Vladlen Yurchenko,Nike,Mercurial Vapor IX>,0,
Maximilian Wagener,Adidas,ACE 17.1 Leather>,0,
Timo Horn,Nike,Magista Opus II>,0,
MiÅ¡o BreÄko,Adidas,X 16.1>,0,
RomÃ¡n Golobart,Adidas,ACE 17.1 Leather>,0,
Dominic Maroh,Adidas,X 16+ Purechaos>,0,
Marcel Risse,Nike,Mercurial Superfly V>,0,
Adam Matuschyk,Adidas,X 16.1>,0,
Anthony Ujah,Adidas,X 16.1>,0,
Patrick Helmes,Nike,Tiempo Legend VI>,0,
Thomas BrÃ¶ker,Adidas,X 16.1>,0,
Jonas Hector,Adidas,X 16.1>,0,
Maxi Thiel,Adidas,ACE 17.1 Leather>,0,
PaweÅ Olkowski,Adidas,X 16+ Purechaos>,0,
SÅawomir Peszko,Adidas,X 16.1>,0,
Thomas Kessler,Adidas,X 15.1 Leather>,0,
Mergim Mavraj,Nike,Magista Obra II>,0,
Sascha Bigalke,Adidas,ACE 17.1 Leather>,0,
Daniel Halfar,Nike,Mercurial Vapor XI>,0,
Simon Zoller,Nike,Hypervenom Phantom II>,0,
Kazuki Nagasawa,Adidas,ACE 17.1 Leather>,0,
BÃ¥rd Finne,Adidas,X 16.1>,0,
Kevin Wimmer,Adidas,X 16.1>,0,
DuÅ¡an Å vento,Adidas,X 15.1>,0,
Bruno Nascimento,Adidas,X 16.1>,0,
Yannick Gerhardt,Nike,Mercurial Superfly V>,0,
Lucas Cueto,Adidas,X 16.1>,0,
Matthias Lehmann,Adidas,X 16+ Purechaos>,0,
Marcel Schuhen,Adidas,Predator LZ>,0,
Daniel MesenhÃ¶ler,>,>,0,
Andre Wallenborn,Adidas,ACE 17.1 Leather>,0,
Lukas Kruse,Adidas,ACE 17.1 Leather>,0,
