Player Name,Instant Price,Rating,Club,Position,Nation,League,Skills,Weak Foot,Preferred Foot,Height,Weight,Revision,Defensive Workrate,Attacking Workrate,Added On,Origin,Games PS4,Games Xbox 1,Total Games,Goals Avr. PS4,Goals Avr. Xbox 1,Assists Avr. PS4,Assists Avr. Xbox 1,Yellow Avr. PS4,Yellow Avr. Xbox 1,Red Avr. PS4,Red Avr. Xbox 1,Date of Birth
Pelé,4990000,95,Legends,CF,Brazil,Legends,5,4,Right ,174,70,Legend,Low,High,2016-09-21,N\A,0,25734,25734,0,0.76,0,0.33,0,0.01,0,0,23-10-1940
Cristiano Ronaldo,1438000,94,Real Madrid,LW,Portugal,LaLiga Santander ,5,4,Right ,185,80,Normal,Low,High,2016-09-21,N\A,1360178,881102,2241280,0.72,0.74,0.3,0.31,0.01,0.01,0,0,05-02-1985
Messi,669000,93,FC Barcelona,RW,Argentina,LaLiga Santander ,4,4,Left ,170,72,Normal,Med,Med,2016-09-21,N\A,1504410,893764,2398174,0.52,0.53,0.29,0.29,0.01,0.01,0,0,24-06-1987
Beckenbauer,989000,93,Legends,CB,Germany,Legends,3,3,Right ,181,75,Legend,Med,High,2016-09-21,N\A,0,39130,39130,0,0.03,0,0.02,0,0.04,0,0.01,11-09-1945
Maldini,620000,92,Legends,LB,Italy,Legends,2,4,Right ,187,85,Legend,High,Med,2016-09-21,N\A,0,81311,81311,0,0.02,0,0.03,0,0.03,0,0,26-06-1968
Baresi,386000,92,Legends,CB,Italy,Legends,2,3,Right ,176,70,Legend,Med,Med,2016-09-21,N\A,0,73116,73116,0,0.01,0,0.01,0,0.05,0,0.01,08-05-1960
Neuer,120000,92,FC Bayern,GK,Germany,Bundesliga,1,4,Right ,193,92,Normal,Med,Med,2016-09-21,N\A,1577314,1132673,2709987,0,0,0,0,0,0,0,0,27-03-1986
Suárez,299000,92,FC Barcelona,ST,Uruguay,LaLiga Santander ,4,4,Right ,182,85,Normal,Med,High,2016-09-21,N\A,1706425,918108,2624533,0.69,0.67,0.31,0.31,0.01,0.01,0,0,24-01-1987
Neymar,350000,92,FC Barcelona,LW,Brazil,LaLiga Santander ,5,5,Right ,174,68,Normal,Med,High,2016-09-21,N\A,2745505,1580636,4326141,0.44,0.44,0.26,0.27,0.01,0.01,0,0,05-02-1992
Matthäus,1299000,91,Legends,CDM,Germany,Legends,3,4,Right ,174,71,Legend,High,High,2016-09-21,N\A,0,107272,107272,0,0.17,0,0.16,0,0.02,0,0,21-03-1961
van Basten,430000,91,Legends,ST,Netherlands,Legends,3,3,Right ,188,78,Legend,Med,Med,2016-09-21,N\A,0,121589,121589,0,0.76,0,0.25,0,0.01,0,0,31-10-1964
Del Piero,1390000,90,Legends,CF,Italy,Legends,4,5,Right ,174,74,Legend,Low,Low,2016-09-21,N\A,0,141567,141567,0,0.61,0,0.38,0,0.01,0,0,09-11-1974
Nesta,269000,90,Legends,CB,Italy,Legends,2,3,Right ,187,79,Legend,High,Med,2016-09-21,N\A,0,100067,100067,0,0.02,0,0.01,0,0.06,0,0.01,19-03-1976
Bergkamp,769000,90,Legends,CF,Netherlands,Legends,4,4,Right ,183,78,Legend,Low,Med,2016-09-21,N\A,0,171180,171180,0,0.66,0,0.34,0,0.01,0,0,10-05-1969
Stoichkov,446000,90,Legends,ST,Bulgaria,Legends,4,3,Left ,178,77,Legend,Med,Med,2016-09-21,N\A,0,187213,187213,0,0.61,0,0.31,0,0.01,0,0,08-02-1966
Luís Figo,343000,90,Legends,RW,Portugal,Legends,4,4,Right ,180,75,Legend,Low,High,2016-09-21,N\A,0,126023,126023,0,0.37,0,0.27,0,0.01,0,0,04-11-1972
van Nistelrooy,345000,90,Legends,ST,Netherlands,Legends,3,3,Right ,188,80,Legend,Low,Med,2016-09-21,N\A,0,129219,129219,0,0.76,0,0.26,0,0.01,0,0,01-07-1976
Puyol,338000,90,Legends,CB,Spain,Legends,2,3,Right ,178,80,Legend,High,Med,2016-09-21,N\A,0,89718,89718,0,0.02,0,0.01,0,0.05,0,0.01,13-04-1978
Ibrahimovic,302000,90,Manchester Utd,ST,Sweden,Premier League,4,4,Right ,195,95,Normal,Low,Med,2016-09-21,N\A,576558,288739,865297,0.69,0.68,0.26,0.26,0.02,0.01,0,0,03-10-1981
Bale,295000,90,Real Madrid,RW,Wales,LaLiga Santander ,4,3,Left ,183,74,Normal,Med,High,2016-09-21,N\A,3416910,2145497,5562407,0.46,0.47,0.29,0.29,0.01,0.01,0,0,16-07-1989
